Set of parameters for model validation,,,,,,,,,,
,,,,,1,2,3,4,,5
param_set,,,,param_set,rh_thresh,temp_thres,hours,wet_before,wet_after,lw_rh
rh_thresh,,,,1,90,10,12,3,3,
temp_thres,,,,2,88,8,10,5,3,
hours,,,,3,,,,0,4,
wet_before,,,,,,,,,,
wet_after,,,,,,,,,,
lw_rh,"threshold for wet hour, if is NA then only rain is considered",,,,,,,,,
,,,,,,,,,,
param_set,rh_thresh,temp_thres,hours,wet_before,wet_after,lw_rh,,,,
"risk_	1	1	1	1	1",90,10,12,3,3,,,,,
"risk_	1	2	1	1	1",90,8,12,3,3,,,,,
"risk_	1	2	2	1	1",90,8,10,3,3,,,,,
"risk_	1	1	2	1	1",90,10,10,3,3,,,,,
"risk_	2	1	1	1	1",88,10,12,3,3,,,,,
"risk_	2	2	1	1	1",88,8,12,3,3,,,,,
"risk_	2	2	2	1	1",88,8,10,3,3,,,,,
"risk_	2	1	2	1	1",88,10,10,3,3,,,,,
"risk_	1	1	1	2	1",90,10,12,5,3,,,,,
"risk_	1	2	1	2	1",90,8,12,5,3,,,,,
"risk_	1	2	2	2	1",90,8,10,5,3,,,,,
"risk_	1	1	2	2	1",90,10,10,5,3,,,,,
"risk_	2	1	1	2	1",88,10,12,5,3,,,,,
"risk_	2	2	1	2	1",88,8,12,5,3,,,,,
"risk_	2	2	2	2	1",88,8,10,5,3,,,,,
"risk_	2	1	2	2	1",88,10,10,5,3,,,,,
"risk_	1	1	1	3	1",90,10,12,0,4,,,,,
"risk_	1	2	1	3	1",90,8,12,0,4,,,,,
"risk_	1	2	2	3	1",90,8,10,0,4,,,,,
"risk_	1	1	2	3	1",90,10,10,0,4,,,,,
"risk_	2	1	1	3	1",88,10,12,0,4,,,,,
"risk_	2	2	1	3	1",88,8,12,0,4,,,,,
"risk_	2	2	2	3	1",88,8,10,0,4,,,,,
"risk_	2	1	2	3	1",88,10,10,0,4,,,,,
"risk_	1	1	1	1	2",90,10,12,3,3,90,,,,
"risk_	1	2	1	1	2",90,8,12,3,3,90,,,,
"risk_	1	2	2	1	2",90,8,10,3,3,90,,,,
"risk_	1	1	2	1	2",90,10,10,3,3,90,,,,
"risk_	2	1	1	1	2",88,10,12,3,3,90,,,,
"risk_	2	2	1	1	2",88,8,12,3,3,90,,,,
"risk_	2	2	2	1	2",88,8,10,3,3,90,,,,
"risk_	2	1	2	1	2",88,10,10,3,3,90,,,,
"risk_	1	1	1	2	2",90,10,12,5,3,90,,,,
"risk_	1	2	1	2	2",90,8,12,5,3,90,,,,
"risk_	1	2	2	2	2",90,8,10,5,3,90,,,,
"risk_	1	1	2	2	2",90,10,10,5,3,90,,,,
"risk_	2	1	1	2	2",88,10,12,5,3,90,,,,
"risk_	2	2	1	2	2",88,8,12,5,3,90,,,,
"risk_	2	2	2	2	2",88,8,10,5,3,90,,,,
"risk_	2	1	2	2	2",88,10,10,5,3,90,,,,
"risk_	1	1	1	3	2",90,10,12,0,4,90,,,,
"risk_	1	2	1	3	2",90,8,12,0,4,90,,,,
"risk_	1	2	2	3	2",90,8,10,0,4,90,,,,
"risk_	1	1	2	3	2",90,10,10,0,4,90,,,,
"risk_	2	1	1	3	2",88,10,12,0,4,90,,,,
"risk_	2	2	1	3	2",88,8,12,0,4,90,,,,
"risk_	2	2	2	3	2",88,8,10,0,4,90,,,,
"risk_	2	1	2	3	2",88,10,10,0,4,90,,,,
